There are 5132 results in 206 pages.
Postcode 1073BP: 5723 EUR/m2 (47m2 E269000, appartement)
Postcode 1081GC: 3125 EUR/m2 (48m2 E150000, appartement)
Postcode 1058HL: 4711 EUR/m2 (52m2 E245000, appartement)
Postcode 1091LV: 3472 EUR/m2 (72m2 E250000, appartement)
Postcode 1078JD: 5000 EUR/m2 (83m2 E415000, appartement)
Postcode 1087NA: 2718 EUR/m2 (110m2 E299000, woonhuis)
Postcode 1081JT: 3881 EUR/m2 (219m2 E850000, woonhuis)
Postcode 1075XM: 4625 EUR/m2 (40m2 E185000, appartement)
Postcode 1013DV: 3977 EUR/m2 (44m2 E175000, appartement)
Postcode 1076LJ: 4076 EUR/m2 (65m2 E265000, appartement)
Postcode 1079WH: 5312 EUR/m2 (80m2 E425000, appartement)
Postcode 1016GX: 6798 EUR/m2 (114m2 E775000, appartement)
Postcode 1013TG: 5300 EUR/m2 (50m2 E265000, appartement)
Postcode 1065EK: 3043 EUR/m2 (46m2 E140000, appartement)
Postcode 1082JL: 3787 EUR/m2 (33m2 E125000, appartement)
Postcode 1055MA: 3454 EUR/m2 (143m2 E494000, appartement)
Postcode 1015AB: 5586 EUR/m2 (196m2 E1095000, appartement)
Postcode 1072VN: 5571 EUR/m2 (35m2 E195000, appartement)
Postcode 1069KE: 2245 EUR/m2 (102m2 E229000, appartement)
Postcode 1055HS: 3431 EUR/m2 (51m2 E175000, appartement)
Postcode 1058AS: 4154 EUR/m2 (71m2 E295000, appartement)
Postcode 1018RS: 4444 EUR/m2 (45m2 E200000, appartement)
Postcode 1098ES: 4687 EUR/m2 (80m2 E375000, appartement)
Postcode 1054JC: 4243 EUR/m2 (152m2 E645000, appartement)
Postcode 1017EG: 5820 EUR/m2 (189m2 E1100000, woonhuis)
 - Running average after this page is 4367
Postcode 1068CG: 2000 EUR/m2 (75m2 E150000, appartement)
Postcode 1083AJ: 3066 EUR/m2 (106m2 E325000, woonhuis)
Postcode 1054WT: 4700 EUR/m2 (50m2 E235000, appartement)
Postcode 1063LR: 2307 EUR/m2 (65m2 E150000, appartement)
Postcode 1102VD: 2100 EUR/m2 (50m2 E105000, appartement)
Postcode 1053BS: 3932 EUR/m2 (178m2 E700000, appartement)
Postcode 1059WD: 3928 EUR/m2 (84m2 E330000, appartement)
Postcode 1081JR: 4813 EUR/m2 (166m2 E799000, appartement)
Postcode 1016HX: 7446 EUR/m2 (94m2 E700000, appartement)
Postcode 1035VL: 2642 EUR/m2 (70m2 E185000, woonhuis)
Postcode 1051JR: 5108 EUR/m2 (37m2 E189000, appartement)
Postcode 1053NK: 5445 EUR/m2 (101m2 E550000, appartement)
Postcode 1011PG: 4104 EUR/m2 (67m2 E275000, appartement)
Postcode 1053GH: 4543 EUR/m2 (46m2 E209000, appartement)
Postcode 1011CN: 5514 EUR/m2 (68m2 E375000, appartement)
Postcode 1055RM: 2970 EUR/m2 (67m2 E199000, appartement)
Postcode 1053LM: 6397 EUR/m2 (93m2 E595000, appartement)
Postcode 1067JS: 2142 EUR/m2 (91m2 E195000, appartement)
Postcode 1102XL: 2083 EUR/m2 (60m2 E125000, appartement)
Postcode 1068CS: 2421 EUR/m2 (70m2 E169500, appartement)
Postcode 1098TL: 3557 EUR/m2 (70m2 E249000, appartement)
Postcode 1055ED: 3448 EUR/m2 (58m2 E200000, appartement)
Postcode 1054CK: 4462 EUR/m2 (67m2 E299000, appartement)
Postcode 1055ME: 3658 EUR/m2 (123m2 E450000, appartement)
Postcode 1012HZ: 4597 EUR/m2 (87m2 E400000, appartement)
 - Running average after this page is 4131
Postcode 1063LV: 1986 EUR/m2 (75m2 E149000, appartement)
Postcode 1086ZJ: 4006 EUR/m2 (156m2 E625000, woonhuis)
Postcode 1012BT: 4686 EUR/m2 (51m2 E239000, appartement)
Postcode 1063KX: 2427 EUR/m2 (103m2 E250000, appartement)
Postcode 1078EX: 5869 EUR/m2 (115m2 E675000, appartement)
Postcode 1074VM: 4975 EUR/m2 (40m2 E199000, appartement)
Postcode 1063CC: 1904 EUR/m2 (68m2 E129500, appartement)
Postcode 1011HS: 7537 EUR/m2 (132m2 E995000, appartement)
Postcode 1019LS: 3684 EUR/m2 (73m2 E269000, appartement)
Postcode 1094CZ: 3316 EUR/m2 (98m2 E325000, appartement)
Postcode 1019HZ: 3723 EUR/m2 (141m2 E525000, appartement)
Postcode 1087CN: 3431 EUR/m2 (153m2 E525000, woonhuis)
Postcode 1093TS: 3952 EUR/m2 (63m2 E249000, appartement)
Postcode 1025ZH: 2330 EUR/m2 (124m2 E289000, woonhuis)
Postcode 1098EB: 5388 EUR/m2 (399m2 E2150000, woonhuis)
Postcode 1018AK: 4451 EUR/m2 (82m2 E365000, appartement)
Postcode 1074TM: 5113 EUR/m2 (44m2 E225000, appartement)
Postcode 1054ZT: 5077 EUR/m2 (58m2 E294500, appartement)
Postcode 1018ZR: 3852 EUR/m2 (61m2 E235000, appartement)
Postcode 1104VB: 1718 EUR/m2 (96m2 E165000, woonhuis)
Postcode 1104VB: 1904 EUR/m2 (94m2 E179000, woonhuis)
Postcode 1104VC: 1320 EUR/m2 (125m2 E165000, woonhuis)
Postcode 1034WL: 2250 EUR/m2 (100m2 E225000, woonhuis)
Postcode 1056GP: 3888 EUR/m2 (63m2 E245000, appartement)
Postcode 1055MG: 3788 EUR/m2 (71m2 E269000, appartement)
 - Running average after this page is 3988
Postcode 1018KP: 3666 EUR/m2 (75m2 E275000, appartement)
Postcode 1035SG: 2606 EUR/m2 (132m2 E344011, woonhuis)
Postcode 1060NJ: 2216 EUR/m2 (97m2 E215000, appartement)
Postcode 1058SE: 4104 EUR/m2 (67m2 E275000, appartement)
Postcode 1024TK: 2333 EUR/m2 (75m2 E175000, appartement)
Postcode 1024TM: 2044 EUR/m2 (78m2 E159500, appartement)
