pc,buurt,wenselijkheid
1011,NIEUWMARKT/LASTAGE,4
1012,BURGWALLEN-OUDE ZIJDE,2
1013,WESTELIJK HAVENGEBIED,7
1014,SPAARNDAMMER- EN ZEEHELDENBUURT,5
1015,JORDAAN,6
1016,JORDAAN,6
1017,GRACHTENGORDEL-ZUID,6
1018,OOSTELIJKE EILANDEN/KADIJKEN,8
1019,OOSTELIJK HAVENGEBIED,5
1021,IJPLEIN/VOGELBUURT,2
1022,IJPLEIN/VOGELBUURT,1
1023,NIEUWENDAMMERDIJK/BUIKSLOTERDIJK,1
1024,NIEUWENDAM-NOORD,0
1025,BUIKSLOTERMEER,0
1026,DURGERDAM,0
1027,ZUNDERDORP,0
1028,HOLYSLOOT/RANSDORP,0
1031,VOLEWIJCK,1
1032,BUIKSLOTERHAM,0
1033,TUINDORP OOSTZAAN,0
1034,BANNE BUIKSLOOT,0
1035,KADOELEN,0
1037,OOSTZANERWERF,0
1041,WESTELIJK HAVENGEBIED,0
1042,WESTELIJK HAVENGEBIED,0
1043,BEDRIJVENTERREIN SLOTERDIJK,1
1045,WESTELIJK HAVENGEBIED,0
1047,RUIGOORD,0
1051,STAATSLIEDENBUURT,10
1052,FREDERIK HENDRIKBUURT,7
1053,KINKERBUURT,8
1054,HELMERSBUURT,7
1055,LANDLUST,3
1056,VAN GALENBUURT,4
1057,HOOFDWEG E.O.,4
1058,HOOFDDORPPLEINBUURT,4
1059,HOOFDDORPPLEINBUURT,4
1060,GEBERGTEBUURT,0
1061,DE KOLENKIT,0
1062,WESTLANDGRACHT,0
1063,SLOTERMEER-NOORDOOST,0
1064,SLOTERMEER-ZUIDWEST,0
1065,SLOTERVAART,0
1066,SLOTEN,0
1067,LUTKEMEER/OOKMEER,0
1068,OSDORP-OOST,0
1069,MIDDELVELDSCHE AKERPOLDER,0
1071,MUSEUMKWARTIER,8
1072,OUDE PIJP,9
1073,NIEUWE PIJP,9
1074,NIEUWE PIJP,9
1075,WILLEMSPARK,7
1076,STADIONBUURT,4
1077,APOLLOBUURT,5
1078,SCHELDEBUURT,3
1079,RIJNBUURT,4
1081,BUITENVELDERT-WEST,0
1082,BUITENVELDERT-WEST,0
1083,BUITENVELDERT-OOST,0
1091,WEESPERZIJDE,6
1092,OOSTERPARKBUURT,5
1093,DAPPERBUURT,4
1094,INDISCHE BUURT WEST,3
1095,INDISCHE BUURT OOST,2
1096,DE OMVAL,3
1097,FRANKENDAEL,5
1098,MIDDENMEER,6
1102,"BIJLMER CENTRUM (D,F,H,)",0
1103,"BIJLMER OOST (E,G,K)",0
1104,"BIJLMER OOST (E,G,K)",0
1105,AMSTEL III / BULLEWIJK,0
1106,HOLENDRECHT/REIGERSBOS,0
1107,HOLENDRECHT/REIGERSBOS,0
1108,NELLESTEIN,0
1109,DRIEMOND,0
